Product Name,Stock Status,Categories,MRP (Price),Tile Image URL,Ambience Image URL,PDP URL,Colour,Finish,Material,Collection,Design,Plant,Size
Plain Ivory,In Stock,Plain Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Floor Tiles | Signature Tile Showroom in Delhi - Orientbell | Bathroom Floor Tiles | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Ivory Tiles | Tiles in Kolkata | Tiles in Bhopal | Tiles in Jabalpur | Tiles in Indore | Tiles in Patna | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Floor Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,580,https://images.orientbell.com/media/catalog/product/p/l/plain-ivory.jpg,https://images.orientbell.com/media/catalog/product/p/l/plain-ivory-loreno-gold-bathroom-20x30-cm.jpg,https://server.orientbell.com/plain-ivory-010104509980355101m.html,Ivory,Glossy Finish,Ceramic,,Plain,Sikandrabad,200x300 mm
Plain Mango Yellow,In Stock,Plain Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Yellow Tiles | Tiles in Kolkata | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,630,https://images.orientbell.com/media/catalog/product/p/l/plain-mango-yellow.jpg,https://images.orientbell.com/media/catalog/product/5/1/512-plain-mango-yellow-bathroom-20x30-cm.jpg,https://server.orientbell.com/plain-mango-yellow-010104509980390101m.html,Yellow,Glossy Finish,Ceramic,,Plain,Sikandrabad,200x300 mm
Plain White,In Stock,Plain Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | White Tiles | White Kitchen Tiles | Root Category | White Bathroom Tiles | Tiles in Kolkata | Tiles in Bhopal | Tiles in Jabalpur | Tiles in Indore | Tiles in Patna | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Black & White Tile | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,580,https://images.orientbell.com/media/catalog/product/p/l/plain_white_plain_ocean_blue_bathroom_20x30_cm_2.jpg,https://images.orientbell.com/media/catalog/product/p/l/plain_white_plain_ocean_blue_bathroom_20x30_cm_2.jpg,https://server.orientbell.com/plain-white-010104509980565101m.html,White,Glossy Finish,Ceramic,,Plain,Sikandrabad,200x300 mm
Picasso Pink,In Stock,Monochrome Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Pink Tiles | Pink Kitchen Tiles | Pink Bathroom Tiles | Tiles in Kolkata | Tiles in Chennai | Tiles in Patna | Tiles in Coimbatore | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,600,https://images.orientbell.com/media/catalog/product/p/i/picasso-pink.jpg,https://images.orientbell.com/media/catalog/product/5/1/517-518-picaso-pink-picasso-pink-duro-bathroom-20x30-cm.jpg,https://server.orientbell.com/picasso-pink-010104516480451101m.html,Pink,Glossy Finish,Ceramic,,Monochrome,Sikandrabad,200x300 mm
Square Brown,In Stock,Glass Mosaic Tiles | Ceramic Tiles | 200x300 Tiles | Brown Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Brown Bathroom Tiles | Tiles in Kolkata | Tiles in Patna | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,600,https://images.orientbell.com/media/catalog/product/s/q/square-brown.jpg,https://images.orientbell.com/media/catalog/product/5/2/522-square-brown-creative-shot-20x30-cm_1.jpg,https://server.orientbell.com/square-brown-010104525080249101m.html,Brown,Glossy Finish,Ceramic,,Mosaic,Sikandrabad,200x300 mm
Plain Ocean Blue,In Stock,Plain Tiles | Ceramic Tiles | 200x300 Tiles | Glossy Tiles | Tile Collection | Bathroom Tiles | Kitchen Tiles | Tiles in Delhi | 80x160 DC | Bathroom Wall Tiles | Tile in Raiganj | Tiles in Jangipur | Tiles in Alipurduar | Kitchen Wall Tiles | Bathroom Wall Tiles | Signature Tile Showroom in Delhi - Orientbell | Tiles in Mangolpuri | Tiles in Jagatpuri | Tile Manufacturer in Delhi | Blue Tiles | Blue Bathroom Tiles Design | Blue Kitchen Tiles | Blue Bathroom Tiles | Tiles in Kolkata | Tiles in Bhopal | Tiles in Jabalpur | Tiles in Indore | Tiles in Patna | Tiles in Gurugram | Tiles in Panchkula | Tiles in Narnaul | Tiles in Mahendragarh | Tiles in Sohna | Tiles in Nuh | Tiles in Pataudi | Tiles in Bhiwadi | Tiles in Dharuhera | Tiles in Manesar | Tiles in Farukhnagar | Tiles in Delhi | Tiles in Noida | Tiles in Lucknow | Floor Tiles | Floor | Floor | Bedroom Wall Tiles | Kitchen Countertop  | Tiles | Wooden Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,630,https://images.orientbell.com/media/catalog/product/p/l/plain-white-plain-ocean-blue-bathroom-20x30-cm_2.jpg,https://images.orientbell.com/media/catalog/product/p/l/plain-white-plain-ocean-blue-bathroom-20x30-cm_2.jpg,https://server.orientbell.com/plain-ocean-blue-010104509980426101m.html,Blue,Glossy Finish,Ceramic,,Plain,Sikandrabad,200x300 mm
Canto Creama,Out of Stock,Floor Tiles | Hospital Tiles | Living Room Tiles | Commercial Tiles | High Traffic Tiles | Bathroom Tiles | Kitchen Tiles | School Tiles | Granite Tiles | Vitrified Tiles | Double Charge Tiles | Cream Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Canto Series Tiles | Medium Tiles | Floor | Floor | Floor | Floor | 2x2 Double Charge Tiles | 80x160 DC | Bathroom Wall Tiles | Double Charge Vitrified Tiles | Wall Tiles | Kitchen Floor Tiles | Bathroom Floor Tiles | Bedroom Floor Tiles | Living Room Floor Tiles | Tiles in Lucknow | Tiles in Noida | Wall | Wall | Wall | Wall | Living Room Wall Tiles | Kitchen Wall Tiles | Morbi Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Subway Tiles | Athangudi Tiles | Elevation Tiles | Outdoor Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,930.56,https://images.orientbell.com/media/catalog/product/c/a/canto_creama.jpg,https://images.orientbell.com/media/catalog/product/c/a/canto_creama_nu_canto_choco_600x600.jpg,https://server.orientbell.com/canto-creama-marble-double-charge-vitrified-floor-tiles.html,Cream,Glossy Finish,"Vitrified, Double Charge",Canto Series Tiles,Granite,West Zone,600x600 mm
Canto Beige,In Stock,Floor Tiles | Granite Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Canto Series Tiles | Medium Tiles | Double Charge Tiles | Hospital Tiles | Living Room Tiles | Office Tiles | Commercial Tiles | High Traffic Tiles | Floor | Floor | Floor | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Wall | Wall | Wall | Beige Tiles | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles in Noida | Tiles in Lucknow | Wall Tiles | Living Room Wall Tiles | Bathroom Tiles | Kitchen Tiles | Floor | Wall | Floor | Wall | 80x160 DC | Bathroom Wall Tiles | Beige Kitchen Tiles | Kitchen Floor Tiles | Bathroom Floor Tiles | Kitchen Wall Tiles | Morbi Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Subway Tiles | Athangudi Tiles | Elevation Tiles | Outdoor Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,930.56,https://images.orientbell.com/media/catalog/product/5/7/571_canto_beige_living_room_60x60_cm.jpg,https://images.orientbell.com/media/catalog/product/5/7/571_canto_beige_living_room_60x60_cm.jpg,https://server.orientbell.com/canto-beige-marble-double-charge-vitrified-floor-tiles.html,Beige,Glossy Finish,"Vitrified, Double Charge",Canto Series Tiles,Granite,West Zone,600x600 mm
Canto Ocean (S),In Stock,Floor Tiles | Granite Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Canto Series Tiles | Medium Tiles | Double Charge Tiles | Bar Tiles | Hospital Tiles | Living Room Tiles | Office Tiles | Dining Room Tiles | Commercial Tiles | Restaurant Tiles | Automotive Tiles | High Traffic Tiles | Floor | Floor | Floor | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Wall | Wall | Wall | Wall | Cream Tiles | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles in Noida | Tiles in Lucknow | Wall Tiles | Living Room Wall Tiles | Morbi Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Subway Tiles | Athangudi Tiles | Elevation Tiles | Outdoor Wall Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,930.56,https://images.orientbell.com/media/catalog/product/c/a/canto_ocean.jpg,https://images.orientbell.com/media/catalog/product/c/a/canto_ocean_living_room_80x80_cm.jpg,https://server.orientbell.com/canto-ocean-marble-double-charge-vitrified-floor-tiles.html,Cream,Glossy Finish,"Vitrified, Double Charge",Canto Series Tiles,Granite,West Zone,600x600 mm
Tropicana White - Marble Double Charge Vitrified Floor Tiles,Out of Stock,Root Category | Floor Tiles | Granite Tiles | White Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Medium Tiles | Double Charge Tiles | Hospital Tiles | Living Room Tiles | High Traffic Tiles | Floor | Floor | White Granite Tiles | White Granite Countertop Tiles | P White Granite Tiles | White Granite Kitchen Tiles | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Tiles in Bangalore | Tiles in Kolkata | Tiles in Chennai | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles in Patna | Tiles in Coimbatore | Tiles in Noida | Tiles in Lucknow | Black & White Tile | Bathroom Tiles | Kitchen Tiles | Floor | Floor | 80x160 DC | Bathroom Wall Tiles | White Kitchen Tiles | Kitchen Floor Tiles | Bathroom Floor Tiles | White Bathroom Tiles | Morbi Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,930.56,https://images.orientbell.com/media/catalog/product/o/r/orient_bell_-_tropicana_white_-_marble_doubl_-_04_oct_2023_05_41_21_gmt.jpg,https://images.orientbell.com/media/catalog/product/o/r/orient_bell_-_tropicana_white_-_marble_doubl_-_04_oct_2023_05_41_21_gmt.jpg,https://server.orientbell.com/tropicana-white-marble-double-charge-vitrified-floor-tiles.html,White,Glossy Finish,"Vitrified, Double Charge",,Granite,West Zone,600x600 mm
Lara Rosa,In Stock,Floor Tiles | Granite Tiles | 2x2 Tiles | Glossy Tiles | Tile Collection | Medium Tiles | Double Charge Tiles | Hospital Tiles | Living Room Tiles | Office Tiles | High Traffic Tiles | Floor | Floor | Floor | 2x2 Double Charge Tiles | Double Charge Vitrified Tiles | Pink Tiles | Bedroom Floor Tiles | Living Room Floor Tiles | Vitrified Tiles | Tiles in Noida | Tiles in Lucknow | Bathroom Tiles | Kitchen Tiles | School Tiles | Floor | Floor | 80x160 DC | Bathroom Wall Tiles | Pink Kitchen Tiles | Kitchen Floor Tiles | Bathroom Floor Tiles | Pink Bathroom Tiles | Morbi Tiles | Bathroom 600X600 Floor Tiles | Living Room 600x600 | 600x600 | Kitchen 600x600 Floor Tiles | Kitchen 600x600 Wall Tiles | Kitchen Countertop  | Tiles | Bedroom Tiles | Granalt Tiles - 800X2400,902.78,https://images.orientbell.com/media/catalog/product/l/a/lara_rosa.jpg,https://images.orientbell.com/media/catalog/product/l/a/lara_rosa_1.jpg,https://server.orientbell.com/lara-rosa-marble-double-charge-vitrified-floor-tiles.html,Pink,Glossy Finish,"Vitrified, Double Charge",,Granite,West Zone,600x600 mm
